"Vessel Name","Destination Port","Reported Eta","Arrived At","Capacity - Dwt","Vessel Type - Generic",Flag,"Current Port","Reported Destination","Navigational Status",Build,Length,Width,"Current Port Country","Draught Max","Draught Min","Vessel Type - Detailed","Launch Date",Imo,Eni,Mmsi,"Global Area","Local Area","Current Port Unlocode"
"FJ STAR",MOBILE,"2024-03-24 22:18:00","2024-03-25 03:15:00",61225,Cargo,Panama,"MOBILE ANCH","US MOB","At Anchor",2016,199.9,32.3,US,13.6,6.0,"Bulk Carrier",2016-06-13,9797682,0,353038000,"Gulf of Mexico","Gulf of Mexico",
RYUSEI,HAKATA,"2024-03-24 22:30:00","2024-03-24 22:01:00",,Fishing,Japan,,"JP HKT S","Underway using Engine",2020,66.0,9.0,,5.3,5.3,"Special Fishing Vessel",,9890692,0,431630000,"Japan Coast","Japan Coast",
"HARU MARU",YATSUSHIRO,"2024-03-24 22:30:00","2024-03-24 21:44:00",1400,Cargo,Japan,YATSUSHIRO,"JP YAT",Stopped,2001,75.6,12.0,JP,4.5,2.5,"General Cargo",2000-12-01,8967137,,431501669,"Japan Coast","East China Sea",JPYAT
"ORION 5","PUERTO DESEADO","2024-03-24 22:30:00","2024-03-25 01:44:00",1095,Fishing,Argentina,"NECOCHEA ANCH","PTO DESEADO","Underway using Engine",1988,70.7,10.0,AR,4.2,4.2,"Fishing Vessel",,8717051,,701006183,"East Coast South America","East Coast South America",
SIIRT,"SAO SEBASTIAO","2024-03-24 22:30:00","2024-03-24 22:44:00",63200,Cargo,Malta,"SAO SEBASTIAO ANCH","BR SSO","At Anchor",2013,200.0,32.0,BR,13.5,4.6,"Bulk Carrier",,9644196,,229221000,"East Coast South America","East Coast South America",
"QIAN XIANG 8",LIANYUNGANG,"2024-03-24 22:30:00","2024-03-24 17:29:00",6135,Cargo,Tanzania,"LIANYUNGANG ANCH",LIANYUNGANG,Underway,2004,118.0,16.0,CN,6.3,3.5,"General Cargo",,8356974,0,677077400,"North China","Yellow Sea",
WALL,SKHIRA,"2024-03-24 22:30:00","2024-03-24 22:19:00",45956,Tanker,Panama,"SKHIRA ANCH",TNLSK,"At Anchor",2005,183.0,32.2,TN,12.6,6.4,"Oil/Chemical Tanker",2005-08-26,9299886,0,352003640,"West Mediterranean","West Mediterranean",
"LUCKY LOONG",SANTOS,"2024-03-24 23:00:00","2024-03-24 22:34:00",76469,Cargo,Panama,"SANTOS ANCH","BR SSZ","At Anchor",2005,225.0,32.3,BR,14.8,5.8,"Bulk Carrier",,9287168,,372342000,"East Coast South America","East Coast South America",
"MATEO I","MAR DEL PLATA","2024-03-24 23:00:00","2024-03-25 00:04:00",100,Fishing,Argentina,"MAR DEL PLATA","PTO MAR DEL PLATA",Stopped,1989,69.7,10.7,AR,5.4,4.2,"Fishing Vessel",,8903973,0,701000551,"East Coast South America","East Coast South America",ARMDQ
"BUENA DIOSA",BUSAN,"2024-03-24 23:00:00","2024-03-24 23:09:00",3177,Tanker,Panama,BUSAN,"KR PUS",Stopped,2014,96.0,15.0,KR,5.2,4.0,"LPG Tanker",2013-11-20,9693305,0,353465000,"North China","North China",KRPUS
VAULT,SKHIRA,"2024-03-24 23:01:00","2024-03-25 20:20:00",48658,Tanker,Panama,"SKHIRA ANCH","TN LSK","At Anchor",2005,180.0,32.2,TN,12.5,4.0,"Oil Products Tanker",2004-12-15,9310707,,352003746,"West Mediterranean","West Mediterranean",
"BBC DIRECTION",HITACHINAKA,"2024-03-24 23:05:00",,7947,Cargo,"Antigua Barbuda",HITACHINAKA,JPHIC,Moored,2007,119.8,20.0,JP,7.9,3.7,"General Cargo",2007-03-14,9347853,,305034000,"Japan Coast","Japan Coast",JPHIC
"WAN HUAI NAN HUO1886",NANJING,"2024-03-24 23:25:00","2024-03-26 12:55:00",,Cargo,China,NANJING,"No data (CLASS B transponder)",Underway,,80.0,13.0,CN,5.2,1.6,"Other Cargo",,0,0,413866059,"Central China","East China Sea",CNNJG
EIVISSA,"KRIMPEN AAN DE LEK","2024-03-24 23:30:00","2024-03-24 22:31:00",,Passenger,Netherlands,"KRIMPEN AAN DE LEK","KRIMPEN AAN DEN LEK",Moored,,64.5,7.2,NL,2.0,1.0,"Inland Passengers Ship",,0,03150454,244867458,"UK Coast & Atlantic","Rotterdam Area",NLKRP
"SPAN ASIA 35",BACOLOD,"2024-03-24 23:45:00","2024-03-24 17:47:00",3800,Cargo,Philippines,"MANILA ANCH",BACOLOD,"At Anchor",1989,104.9,16.0,PH,6.5,3.2,"General Cargo",1989-06-06,8818752,,548919200,Philippines,Philippines,
"AFRICAN EAGLE",RIGA,"2024-03-24 23:45:00","2024-03-24 21:51:00",27102,Cargo,Bahamas,RIGA,"LV RIX",Moored,2003,178.2,26.1,LV,10.5,5.1,"Bulk Carrier",2003-01-03,9257046,,311249000,"Baltic Sea","Baltic Sea",LVRIX
KINERET,KARIANGAU,"2024-03-24 23:55:00","2024-03-24 20:37:00",30,Passenger,Indonesia,KARIANGAU,KARIANGAU-PENAJAM,Stopped,1976,45.5,3.2,ID,3.7,3.2,"Ro-Ro/Passenger Vessel",1976-03-26,7507459,0,525024105,Indonesia,"Makassar Strait",IDKRG
"NJ SUN","JEBEL ALI","2024-03-25 00:00:00","2024-03-25 03:46:00",37372,Cargo,Palau,"JEBEL ALI","JEBEL ALI",Moored,2002,199.9,23.7,AE,11.5,5.5,"Bulk Carrier",2001-07-23,9229972,,511100731,"Arabian Gulf","Persian Gulf",AEJEA
"CAPETAN GIORGIS","CORPUS CHRISTI","2024-03-25 00:00:00","2024-03-26 01:09:00",76466,Cargo,"Marshall Is","CORPUS CHRISTI ANCH","US CRP","At Anchor",2005,225.0,32.3,US,14.2,6.3,"Bulk Carrier",,9288423,,538005154,"Gulf of Mexico","Gulf of Mexico",
"TIRTA SAMUDRA XXVI",SAMPIT,"2024-03-25 00:00:00","2024-03-25 11:17:00",3000,Cargo,Indonesia,SAMPIT,SAMPIT,"At Anchor",2011,87.3,15.6,ID,4.5,2.2,"General Cargo",,9642655,,525022013,Indonesia,"Java Sea",IDSMQ
ARTEMIS,RAUMA,"2024-03-25 00:00:00","2024-03-25 02:24:00",90,Tug,Finland,RAUMA,RAUMA,Moored,1981,31.0,10.5,FI,4.2,4.0,Tug,1981-02-20,7927934,,230182000,"Baltic Sea","Bothnia Gulf",FIRAU
"SAE HAE RIM",GUNSAN,"2024-03-25 00:00:00","2024-03-25 01:47:00",1371,"Special Craft",Korea,GUNSAN,GUNSAN,Moored,2018,96.4,15.0,KR,5.3,4.7,"Special Craft",2018-02-28,9807243,0,440843000,"North China","Yellow Sea",KRKUV
"ALP KEEPER",SINGAPORE,"2024-03-25 00:00:00","2024-03-25 00:44:00",4139,"Special Craft",Netherlands,"SINGAPORE ANCH",SINGAPORE,"At Anchor",2018,88.5,21.6,SG,9.0,6.8,"Anchor Handling Vessel",2016-06-17,9737266,,244870440,Indonesia,"Singapore Area",
SEDONA,KISARAZU,"2024-03-25 00:00:00","2024-03-24 23:51:00",14212,Cargo,Philippines,KISARAZU,"JP KZU OFF",Moored,2020,127.7,19.0,JP,9.8,4.2,"General Cargo",2020-01-09,9887114,0,548539000,"Japan Coast","Japan Coast",JPKZU
"GF ITAIPU",MONTEVIDEO,"2024-03-25 00:01:00","2024-03-25 04:39:00",,Cargo,Paraguay,MONTEVIDEO,"UY MVD",Stopped,,136.0,27.0,UY,3.7,3.1,"Inland Cargo",,0,0,755156000,"East Coast South America","East Coast South America",UYMVD
"TAHOE SPIRIT",SINES,"2024-03-25 00:01:00","2024-03-25 06:36:00",156870,Tanker,Bahamas,"SINES ANCH",PTSIE,"At Anchor",2010,274.5,48.0,PT,17.0,6.0,"Crude Oil Tanker",2010-01-06,9427641,,311000337,"UK Coast & Atlantic","UK Coast & Atlantic",
"PUSAKA GEMILANG","PORT KLANG","2024-03-25 00:30:00","2024-03-24 21:58:00",3543,Tanker,Malaysia,"PORT KLANG","PORT KLANG, MY",Moored,2014,97.5,16.0,MY,6.5,3.7,"Asphalt/Bitumen Tanker",,9553945,,533132391,Indonesia,"Malacca Strait",MYPKG
"VERTOM JOY",GEORGETOWN,"2024-03-25 00:30:00","2024-03-25 07:11:00",11500,Cargo,Netherlands,GEORGETOWN,GYGEO,Moored,2023,128.3,18.7,GY,8.3,4.3,"General Cargo",,9706865,0,246828000,"North Coast South America","North Coast South America",GYGEO
"WAN MING 1",ZHOUSHAN,"2024-03-25 00:30:00","2024-03-26 10:59:00",,Cargo,China,ZHOUSHAN,"ZHOU SHAN",Moored,,200.0,36.0,CN,13.8,5.1,"Other Cargo",,0,0,414383000,"Central China","East China Sea",CNZOS
"CRUCEROS HUMBOLDT",BALTRA,"2024-03-25 00:30:00","2024-03-24 19:30:00",,Passenger,Ecuador,,BALTRA,"Underway using Engine",2010,29.1,7.0,,13.7,2.0,"Passenger Vessel",,9596284,0,735058752,"West South America","West South America",
"SCORPION 1",ISKENDERUN,"2024-03-25 00:30:00","2024-03-24 23:48:00",5336,Cargo,Panama,ISKENDERUN,TRISK,Moored,1993,99.9,18.2,TR,7.5,3.9,"General Cargo",,9061277,,352898674,"East Mediterranean","East Mediterranean",TRISK
"WHITE STAR","EL DEKHEILA","2024-03-25 01:00:00","2024-03-24 21:57:00",9223,Cargo,Panama,"ALEXANDRIA ANCH","EG EDK","At Anchor",2007,129.8,19.0,EG,8.0,4.0,"General Cargo",,9381938,,371702000,"East Mediterranean","East Mediterranean",
"GLOBE CLEOPATRA","KO SICHANG","2024-03-25 01:00:00","2024-03-25 01:41:00",58765,Cargo,"Marshall Is","SRIRACHA ANCH",THKSI,"At Anchor",2009,190.0,32.3,TH,13.2,4.8,"Bulk Carrier",2008-11-11,9403085,,538008682,"South-East Asia","Gulf of Thailand",
"PALANCA RIO",BALTIMORE,"2024-03-25 01:00:00","2024-03-25 12:09:00",14882,Tanker,"Marshall Is",BALTIMORE,"US BAL",Moored,2016,133.3,23.0,US,9.2,4.8,"Oil/Chemical Tanker",,9747998,0,538006907,"US East Coast","US East Coast",USBAL
"AKIJ NOOR","KO SICHANG","2024-03-25 01:00:00","2024-03-24 23:40:00",53094,Cargo,Bangladesh,"SRIRACHA ANCH",KOSICHANG,"At Anchor",2002,189.9,32.3,TH,12.9,5.9,"Bulk Carrier",,9246619,,405000212,"South-East Asia","Gulf of Thailand",
BALU,"KHOR FAKKAN","2024-03-25 01:00:00","2024-03-25 01:04:00",305704,Tanker,Cameroon,"KHOR FAKKAN ANCH","KHORFAKKAN OPL","At Anchor",2001,332.0,58.0,AE,22.9,10.8,"Crude Oil Tanker",,9235244,,613469620,"Arabian Gulf","Oman Gulf",
RAINBOW,DAVISVILLE,"2024-03-25 01:00:00","2024-03-26 10:32:00",,Tug,USA,DAVISVILLE,DAVISVILLE,Stopped,2004,28.0,5.5,US,4.0,4.0,Tug,,8987345,,367015670,"US East Coast","US East Coast",USDVV
INNSBRUCK,BRATISLAVA,"2024-03-25 01:10:00","2024-03-24 22:08:00",,Tug,Austria,BRATISLAVA,BRATISLAVA,Moored,,113.0,22.5,SK,1.3,0.2,"Inland Tug",,0,08548021,203999391,"Inland, Europe","Inland, Europe",SKBTS
"FERRY NEW AWASHIMA",NIIGATA,"2024-03-25 01:30:00","2024-03-25 01:03:00",,Passenger,Japan,NIIGATA,"JP KIJ W",Stopped,,67.0,15.0,JP,3.5,3.5,"Other Passenger",,0,0,431012762,"Japan Coast","Japan Coast",JPKIJ
SOLE,BEJAIA,"2024-03-25 01:30:00","2024-03-25 03:42:00",58635,Cargo,Cyprus,"BEJAIA ANCH",BEJAIA,"At Anchor",2013,197.0,32.3,DZ,13.0,5.0,"Bulk Carrier",2013-01-18,9650145,0,210238000,"West Mediterranean","West Mediterranean",
BLIXEN,GRENAA,"2024-03-25 01:35:00","2024-03-25 01:18:00",,Other,Denmark,GRENAA,"GREENA HAVN",Stopped,,12.0,4.0,DK,1.5,1.5,"Other Special Craft",,0,0,219029272,"Baltic Sea",Kattegat,DKGRE
"BWEK BORNHOLM",MALE,"2024-03-25 02:00:00","2024-03-25 03:10:00",6777,Tanker,Malta,"MALE ANCH","MV MLE","At Anchor",2022,117.0,19.0,MV,6.7,4.0,"LPG Tanker",,9947029,0,256110000,"West Coast India","West Coast India",
"ZUIKEI MARU","CAGAYAN DE ORO","2024-03-25 02:00:00","2024-03-25 01:37:00",1800,Cargo,Mongolia,VILLANUEVA,"CAGAYAN DE ORO",Moored,2009,72.0,12.0,PH,5.0,3.6,"General Cargo",,8743232,,457900699,Philippines,Philippines,PHVNV
"OSHIMA MARU",TOKYO,"2024-03-25 02:00:00","2024-03-25 01:11:00",,"Special Craft",Japan,TOKYO,"JP TYO HK",Moored,2020,59.0,10.0,JP,4.3,4.0,"Training Ship",,9874923,0,431625000,"Japan Coast","Japan Coast",JPTYO
"SKY ORION",MOKPO,"2024-03-25 02:00:00","2024-03-25 04:44:00",21844,Cargo,Panama,MOKPO,KRMOK,Moored,2015,172.1,27.0,KR,10.5,5.2,"Container Ship",2015-02-09,9719795,,353640000,"North China","Yellow Sea",KRMOK
"CAPE KORI",BOFFA,"2024-03-25 02:00:00","2024-03-25 04:26:00",203277,Cargo,Liberia,"BOFFA ANCH",BOFFA,"At Anchor",2004,300.0,50.0,GN,18.2,5.5,"Bulk Carrier",2004-04-21,9271559,,636019646,"West Africa","West Africa",
PICHON,TOCOPILLA,"2024-03-25 02:00:00","2024-03-25 02:01:00",17107,Cargo,Singapore,"TOCOPILLA ANCH",CLTOQ,"At Anchor",2012,150.0,23.6,CL,9.5,5.4,"Bulk Carrier",2011-10-26,9521837,,563135500,"West South America","West South America",
"WAN HONG SHUN 816",ZHENJIANG,"2024-03-25 02:03:00","2024-03-25 07:05:00",,Cargo,China,NANJING,ZHENJIANG,"Class B",,93.0,16.0,CN,7.0,2.4,"Other Cargo",,0,0,413797794,"Central China","East China Sea",CNNJG
"ANGGADA IX",BAKAU,"2024-03-25 02:08:00","2024-03-25 01:49:00",,Tug,Indonesia,BAKAU,MAKASAR,"Underway by Sail",1985,29.0,3.5,ID,3.5,3.5,Tug,1985-05-01,8505020,0,525101666,Indonesia,"Makassar Strait",
"TSUI WAH 3","HONG KONG","2024-03-25 02:51:00","2024-03-25 10:42:00",,Passenger,"Hong Kong","HONG KONG",P,Stopped,1991,25.0,6.0,HK,,,"Other Passenger",,0,,477995461,"South China","South China",HKHKG
"JONATHAN ROZIER",FOURCHON,"2024-03-25 03:00:00","2024-03-25 12:53:00",2100,"Special Craft",USA,FOURCHON,FOURCHON,Moored,2004,63.1,16.2,US,7.1,3.0,"Supply Vessel",,9273454,,368465000,"Gulf of Mexico","Gulf of Mexico",USFOC
"JBU SCHELDE","AL JUBAIL","2024-03-25 03:00:00","2024-03-25 21:44:00",11753,Tanker,Singapore,"AL JUBAIL ANCH","AL JUBAIL KSA","At Anchor",2008,126.7,20.4,SA,9.1,4.2,"LPG Tanker",2008-05-19,9374911,,563164300,"Arabian Gulf","Persian Gulf",
"SAMUDERA BIRU 168",PONTIANAK,"2024-03-25 03:00:00","2024-03-26 03:33:00",3328,Tanker,Indonesia,PONTIANAK,PONTIANAK,"At Anchor",1996,85.0,14.0,ID,6.0,3.0,"Oil/Chemical Tanker",,9153719,,525010301,Indonesia,"Java Sea",IDPNK
"QING FENG LING","PORT AU PRINCE","2024-03-25 03:00:00","2024-03-25 17:09:00",34473,Cargo,China,"PORT AU PRINCE","PORT AU PRINCE","Underway using Engine",2013,179.9,28.8,HT,11.6,4.8,"Bulk Carrier",,9663702,,414718000,"Caribbean Sea","Caribbean Sea",HTPAP
CERULEAN,"RAS LAFFAN","2024-03-25 03:00:00","2024-03-25 03:56:00",25240,Cargo,Liberia,"RAS LAFFAN",RASLAFAN,Moored,2013,167.7,26.0,QA,10.6,5.2,"General Cargo",2012-09-12,9655169,,636023010,"Arabian Gulf","Persian Gulf",QARLF
"STRATEGIC FORTITUDE",GHENT,"2024-03-25 03:00:00","2024-03-25 03:41:00",37829,Cargo,Singapore,GHENT,"GHENT BELGIUM",Moored,2016,180.0,29.8,BE,11.2,4.5,"Bulk Carrier",2016-01-29,9753387,0,566646000,"UK Coast & Atlantic","Antwerp Area",BEGNE
"GRAND ACE5",KAOHSIUNG,"2024-03-25 03:30:00","2024-03-25 03:38:00",46176,Tanker,Panama,KAOHSIUNG,"TW KHH",Moored,2006,183.0,32.0,TW,12.2,5.5,"Oil/Chemical Tanker",2006-09-29,9375317,,372172000,"South China","South China",TWKHH
"JIANN DER NO.62",SUAO,"2024-03-25 03:50:00","2024-03-25 02:30:00",,Fishing,Taiwan,SUAO,,"Underway using Engine",,10.0,4.0,TW,3.2,3.2,"Other Fishing",,0,0,416006926,"South China","East China Sea",TWSUO
"DA YANG 198",NANJING,"2024-03-25 04:00:00","2024-03-25 21:56:00",,Tanker,China,NANJING,NANJING,"Class B",,103.0,16.0,CN,4.3,2.5,"Other Tanker",,0,0,413862376,"Central China","East China Sea",CNNJG
"RT MAGIC","CAP LOPEZ","2024-03-25 04:00:00","2024-03-25 02:36:00",325,Tug,Bahamas,"CAP LOPEZ","CAP LOPEZ",Stopped,1999,31.6,12.0,GA,6.5,5.8,Tug,1998-09-18,9190066,,311000881,"West Africa","Gulf of Guinea",GACLZ
"EXPLORER EUROPE",SAMALAJU,"2024-03-25 04:00:00","2024-03-26 02:25:00",61457,Cargo,"Hong Kong",SAMALAJU,SAMALAJU,"Underway using Engine",2012,200.0,32.2,MY,13.1,5.8,"Bulk Carrier",2012-08-23,9632985,0,477798700,Indonesia,"Riau Archipelago",MYSIP
"FAR EAST CHEER",CHITTAGONG,"2024-03-25 04:00:00","2024-03-25 02:53:00",7747,Cargo,"Sierra Leone","CHITTAGONG BREAKYARD",CHITTAGONG,Stopped,2007,124.5,19.8,BD,7.3,4.1,"Container Ship",,9413509,,667001443,"East Coast India","Bengal Bay",
"HAWKS PROGRESS",MALE,"2024-03-25 04:00:00","2024-03-25 06:40:00",14736,Tanker,"Marshall Is",MALE,MYPGG>>>MVMLE,"Underway using Engine",2007,146.8,22.0,MV,8.9,5.5,"Oil/Chemical Tanker",2006-04-15,9313125,,538010818,"West Coast India","West Coast India",MVMLE
TWISTER,THYBORON,"2024-03-25 04:00:00","2024-03-25 05:44:00",104,Tug,Denmark,THYBORON,THYBOROEN,Moored,1988,24.0,8.0,DK,4.0,2.4,Tug,1987-09-25,8616245,,219031423,"UK Coast & Atlantic","North Sea",DKTYB
"AEGEAN ANGEL","KHOR FAKKAN","2024-03-25 04:00:00","2024-03-25 02:16:00",159092,Tanker,Greece,"KHOR FAKKAN ANCH",AEKLF,"At Anchor",2004,274.5,48.0,AE,17.5,7.0,"Crude Oil Tanker",2004-06-05,9290323,,240213000,"Arabian Gulf","Oman Gulf",
SCANLARK,RIGA,"2024-03-25 04:00:00","2024-03-25 06:28:00",1555,Cargo,"St Vincent Grenadines",RIGA,LVRIX,Moored,1985,75.2,10.7,LV,4.8,2.0,"General Cargo",,8505915,,375354000,"Baltic Sea","Baltic Sea",LVRIX
"ASIAN PROGRESS VI",SINGAPORE,"2024-03-25 04:00:00","2024-03-25 01:27:00",312328,Tanker,Singapore,SINGAPORE,"SG KEP",Moored,2019,339.5,60.0,SG,20.6,5.9,"Crude Oil Tanker",2018-11-16,9782522,0,563078100,Indonesia,"Singapore Area",SGSIN
"HONG YANG 7188",NANJING,"2024-03-25 04:03:00","2024-03-26 16:22:00",,Cargo,China,,NANJING,Moored,,97.0,16.0,,7.6,2.0,"Other Cargo",,0,0,413766216,"Inland, China","Inland, China",
G22,OKHA,"2024-03-25 04:13:00","2024-03-25 03:04:00",,Other,India,OKHA,Y53,Stopped,,0.0,0.0,IN,0.5,0.5,"Other Special Craft",,0,0,419000681,"West Coast India","West Coast India",INOKH
"UNION TAYLOR",SANTOS,"2024-03-25 04:30:00","2024-03-25 14:09:00",37693,Cargo,"Marshall Is",SANTOS,SANTOS,Moored,2014,180.0,29.8,BR,11.3,4.6,"General Cargo",2014-08-04,9691644,,538005754,"East Coast South America","East Coast South America",BRSSZ
"MCS GEMMA",MALE,"2024-03-25 04:30:00","2024-03-25 07:01:00",,Tug,"United Kingdom","MALE ANCH","MALE MALDIVES","Towing Astern",2011,26.0,11.5,MV,3.9,1.7,Tug,,9585182,,235085563,"West Coast India","West Coast India",
BATUMANDI,BAKAUHENI,"2024-03-25 04:50:00","2024-03-25 14:32:00",2426,Passenger,Indonesia,,BAKAUHENI,Stopped,2015,110.0,20.0,,5.2,2.5,"Passenger/Cargo Ship",,9759733,,525001136,Indonesia,"Java Sea",
INDIGO,YOKOHAMA,"2024-03-25 05:00:00","2024-03-25 05:00:00",,"Pleasure Craft",Jamaica,YOKOHAMA,"YOKOHAMA BAY SIDE M",Stopped,1998,32.4,7.5,JP,2.8,2.6,Yacht,,1006312,,339632000,"Japan Coast","Japan Coast",JPYOK
LUCA,RIGA,"2024-03-25 05:00:00","2024-03-25 06:09:00",4815,Cargo,"Antigua Barbuda",RIGA,LVRIX,Moored,2004,100.7,15.2,LV,6.5,3.3,"General Cargo",,9286712,,304408000,"Baltic Sea","Baltic Sea",LVRIX
"ULTRA TRONADOR",TALCAHUANO,"2024-03-25 05:00:00","2024-03-25 04:50:00",32874,Cargo,Chile,"CONCEPCION BAY","CL TAL","At Anchor",2000,177.0,28.4,CL,10.3,3.6,"Bulk Carrier",1999-11-09,9205615,,725001193,"West South America","West South America",
"PTAS AMANAH 1","KUALA BELAIT","2024-03-25 05:00:00","2024-03-26 07:28:00",101,"Special Craft",Brunei,"KUALA BELAIT","KUALA BELAIT",Stopped,2013,42.0,8.0,BN,1.9,1.5,"Supply Vessel",,9684366,,508111144,Indonesia,"Riau Archipelago",BNKUB
"SOLAR NOVA",TUBARAO,"2024-03-25 05:00:00","2024-03-25 06:00:00",208892,Cargo,Panama,TUBARAO,SGSIN>BRTUB,Moored,2020,299.6,50.0,BR,18.5,7.5,"Bulk Carrier",2020-09-23,9881110,0,352477000,"East Coast South America","East Coast South America",BRTUB
"MSC MASHA 3",VARNA,"2024-03-25 05:00:00","2024-03-25 09:37:00",30029,Cargo,Portugal,VARNA,VARNA,Moored,1998,183.6,29.8,BG,11.9,5.0,"Container Ship",1998-08-21,9188219,,255806109,"Black Sea","Black Sea",BGVAR
"THANH PHAT 01","HON GAI","2024-03-25 05:00:00","2024-03-25 00:16:00",1987,Tanker,Vietnam,,"CAI LAN VN","Underway by Sail",2004,69.8,10.8,,6.5,2.8,"Chemical Tanker",,9026825,,574512000,"South-East Asia","South-East Asia",
"YASA FALCON",GLADSTONE,"2024-03-25 05:00:00","2024-03-25 06:07:00",81488,Cargo,"Marshall Is","GLADSTONE ANCH","AU GLT","At Anchor",2012,229.0,32.3,AU,15.0,4.5,"Bulk Carrier",2011-12-30,9597123,,538004552,"East Australia","East Australia",
"VIKTOR BORISOV",TUZLA,"2024-03-25 05:00:00","2024-03-25 03:41:00",3484,Cargo,Russia,TUZLA,"TR TUZ",Moored,1980,128.2,15.6,TR,3.5,2.2,"General Cargo",1980-04-01,7801908,,273341110,"Black Sea","Marmara Sea",TRTUZ
RUDOLF,"JEBEL ALI","2024-03-25 05:00:00","2024-03-25 05:52:00",10872,Cargo,"Antigua Barbuda","JEBEL ALI","AE JEA",Moored,2010,145.6,18.3,AE,8.3,4.5,"General Cargo",,9535591,,305598000,"Arabian Gulf","Persian Gulf",AEJEA
"FORTUNA III",ZEEBRUGGE,"2024-03-25 05:15:00","2024-03-25 06:15:00",1731,Tanker,"United Kingdom",ZEEBRUGGE,BEZEE,Moored,2020,68.1,10.0,BE,4.5,2.7,"Bunkering Tanker",,9896828,0,232044919,"UK Coast & Atlantic","North Sea",BEZEE
"KANOK MUTHALONG 10","LAEM CHABANG","2024-03-25 05:30:00","2024-03-25 00:29:00",1821,Tanker,Thailand,"SRIRACHA ANCH",LCB,Stopped,1983,74.5,11.0,TH,4.9,3.0,"Oil/Chemical Tanker",,8319603,0,567001623,"South-East Asia","Gulf of Thailand",
"ASIAN PIONEER",GLADSTONE,"2024-03-25 05:30:00","2024-03-25 05:36:00",88151,Cargo,Panama,"GLADSTONE ANCH","AU GLT","At Anchor",2007,229.9,38.0,AU,14.3,5.9,"Bulk Carrier",2007-05-09,9427017,,372912000,"East Australia","East Australia",
SEASPRITE,PIRAEUS,"2024-03-25 05:30:00","2024-03-25 05:53:00",113998,Tanker,Malta,SKARAMAGAS,GRPIR,Moored,2015,250.0,44.0,GR,15.0,5.3,"Crude Oil Tanker",,9711468,,256440000,"East Mediterranean","Piraeus Area",GRSKA
