IMO number,MMSI,Name of the ship,Former names,Vessel type,Operating status,Flag,Gross tonnage,Deadweight,Length,Breadth,Engine type,Year of build,Builder,Classification society,Home port,Owner,Manager,Description,Engine model,Engine power
8715857,351356000,MSC SARISKA,"KNRWN                                                                               (2011, Denmark)                          MAJESTIC                                                                               (2011, Denmark)                          MAJESTIC MAERSK                                                                               (2011, Denmark)",Container ship,Active,Panama,52181 tons,67183 tons,294 m,32 m,B&W,1990,"ODENSE STEEL SHIPYARD - ODENSE, DENMARK",GERMANISCHER LLOYD,,"MSC MEDITERRANEAN SHIPPING - GENEVA, SWITZERLAND","MSC SHIPMANAGEMENT CYPRUS - LIMASSOL, CYPRUS","MSC SARISKA is a Container ship built in 1990 by ODENSE STEEL SHIPYARD - ODENSE, DENMARK. Currently sailing under the flag of Panama. Formerly also known as KNRWN, MAJESTIC, MAJESTIC MAERSK. It's gross tonnage is 52181 tons.",12L90GFC,57681 KW
9417141,218108000,E SHIP 1,,General cargo vessel,Active,Germany,12968 tons,10020 tons,130 m,22 m,,2010,"LINDENAU SHIPYARD - KIEL, GERMANY",GERMANISCHER LLOYD,EMDEN,"ENERCON - AURICH, GERMANY","AUERBACH BEREEDERUNG - HAMBURG, GERMANY","E SHIP 1 is a General cargo vessel built in 2010 by LINDENAU SHIPYARD - KIEL, GERMANY. Currently sailing under the flag of Germany. It's gross tonnage is 12968 tons.",,8790 KW
9267015,310495000,LNG BENUE,,LNG carrier,Active,Bermuda,97561 tons,83068 tons,285 m,43 m,Kawasaki,2006,DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - GEOJE (KOR). YARD NO. 2224,LLOYD'S SHIPPING REGISTER,HAMILTON,"BW GAS - OSLO, NORWAY","BW FLEET MANAGEMENT - LYSAKER, NORWAY",LNG BENUE is a LNG carrier built in 2006 by DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - GEOJE (KOR). YARD NO. 2224. Currently sailing under the flag of Bermuda. It's gross tonnage is 97561 tons.,Steam turbine,
9474539,205769000,MARIANNE,MARIANNE                                                                               (2019),LPG carrier,Active,Belgium,3493 tons,4001 tons,97 m,16 m,MAN-B&W,2009,"YAMANISHI SHIPBUILDING & IRON WORKS - ISHINOMAKI, JAPAN",NIPPON KAIJI KYOKAI (NKK),ANTWERP,"EXMAR - ANTWERP, BELGIUM","EXMAR - ANTWERP, BELGIUM","MARIANNE is a LPG carrier built in 2009 by YAMANISHI SHIPBUILDING & IRON WORKS - ISHINOMAKI, JAPAN. Currently sailing under the flag of Belgium. Formerly also known as MARIANNE. It's gross tonnage is 3493 tons.",5L35MC,3700 KW
9326940,255805802,WEC CORNEILLE,ALIDA                                                                               (2018)                          ALIDA                                                                               (2018)                          ALIDA                                                                               (2015)                          KATHERINE BORCHARD                                                                               (2013)                          KATHERINE BORCHARD                                                                               (2011)                          MSC YORKSHIRE                                                                               (2007)                          HOLLAND MAAS HABANA                                                                               (2005)                          AQUILA                                                                               (2005),Container ship,Active,Portugal,9962 tons,11416 tons,134 m,22 m,MAK,2005,"JJ SIETAS SCHIFFSWERFT - HAMBURG, GERMANY",GERMANISCHER LLOYD,MONROVIA,"DOHLE SCHIFFAHRT - HAMBURG, GERMANY","DOHLE SCHIFFAHRT - HAMBURG, GERMANY","WEC CORNEILLE is a Container ship built in 2005 by JJ SIETAS SCHIFFSWERFT - HAMBURG, GERMANY. Currently sailing under the flag of Portugal. Formerly also known as ALIDA, ALIDA, ALIDA, KATHERINE BORCHARD, KATHERINE BORCHARD, MSC YORKSHIRE, HOLLAND MAAS HABANA, AQUILA. It's gross tonnage is 9962 tons.",9M43,8400 KW
9351579,354745000,MSC TAMARA,,Container ship,Active,Panama,41225 tons,53335 tons,264 m,32 m,MAN-B&W,2008,"ZHEJIANG SHIPBUILDING - NINGBO, CHINA",GERMANISCHER LLOYD,Panama,,,"MSC TAMARA is a Container ship built in 2008 by ZHEJIANG SHIPBUILDING - NINGBO, CHINA. Currently sailing under the flag of Panama. It's gross tonnage is 41225 tons.",8K90MC-C,36990 KW
9299549,356093000,MSC JUDITH,MSC JUDITH                                                                               (2020)                          MSC JUDITH                                                                               (2020)                          MSC JUDITH                                                                               (2020),Container ship,Active,Panama,89954 tons,105083 tons,324 m,42 m,Sulzer,2006,"HANJIN HEAVY INDUSTRIES CO. LTD. - BUSAN, SOUTH KOREA",GERMANISCHER LLOYD,,,,"MSC JUDITH is a Container ship built in 2006 by HANJIN HEAVY INDUSTRIES CO. LTD. - BUSAN, SOUTH KOREA. Currently sailing under the flag of Panama. Formerly also known as MSC JUDITH, MSC JUDITH, MSC JUDITH. It's gross tonnage is 89954 tons.",,
9304447,636018075,MSC ROMA,"MSC ROMA                                                                               (2016, Liberia)",Container ship,Active,Liberia,107849 tons,110633 tons,336 m,45 m,MAN-B&W,2006,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",GERMANISCHER LLOYD,MONROVIA,"OFFEN REEDEREI - HAMBURG, GERMANY","OFFEN REEDEREI - HAMBURG, GERMANY","MSC ROMA is a Container ship built in 2006 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as MSC ROMA. It's gross tonnage is 107849 tons.",7S60MC-C,68520 KW
9307839,538006866,BOMAR RESOLVE,"BOMAP RESOLVE                                                                               (2018, Marshall Islands)                          HELENE                                                                               (2016, Marshall Islands)                          MAERSK NAGOYA                                                                               (2010, Malta)",Container ship,Active,Marshall Islands,25756 tons,33074 tons,207 m,29 m,,2005,"PS WERFTEN STRALSUND - STRALSUND, GERMANY",GERMANISCHER LLOYD,,"HARMSTORF & MEIER HEDDE REEDEREI - HAMBURG, GERMANY","HARMSTORF & MEIER HEDDE REEDEREI - HAMBURG, GERMANY","BOMAR RESOLVE is a Container ship built in 2005 by PS WERFTEN STRALSUND - STRALSUND, GERMANY. Currently sailing under the flag of Marshall Islands. Formerly also known as BOMAP RESOLVE, HELENE, MAERSK NAGOYA. It's gross tonnage is 25756 tons.",12VM43,
9619907,219018271,MAERSK MC KINNEY MOLLER,MAERSK MC KINNEY MOE                                                                               (2021)                          MAERSK MC KINNEY M &,Container ship,Active,Denmark,194849 tons,213971 tons,399 m,59 m,,2013,"DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - GEOJE, SOUTH KOREA",AMERICAN BUREAU OF SHIPPING,HELLERUP,"AP MOLLER MAERSK COPENHAGEN, DENMARK","AP MOLLER MAERSK COPENHAGEN, DENMARK","MAERSK MC KINNEY MOLLER is a Container ship built in 2013 by DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Denmark. Formerly also known as MAERSK MC KINNEY MOE, MAERSK MC KINNEY M &. It's gross tonnage is 194849 tons.",,
9704996,255806498,MSC JULIE,MSC JULIE                                                                               (2021),Container ship,Active,Portugal,96333 tons,109587 tons,299 m,48 m,,2015,"NEW TIMES SHIPBUILDING - JINGJIANG, CHINA",GERMANISCHER LLOYD,,"CHINA INTERNATIONAL MARINE CONTAINERS GROUP - SHENZHEN, CHINA","CHINA INTERNATIONAL MARINE CONTAINERS GROUP - SHENZHEN, CHINA","MSC JULIE is a Container ship built in 2015 by NEW TIMES SHIPBUILDING - JINGJIANG, CHINA. Currently sailing under the flag of Portugal. Formerly also known as MSC JULIE. It's gross tonnage is 96333 tons.",,
9687576,636092799,CISNES,"B SN5                                                                               (2018, Liberia)                          CISNES                                                                               (2017, Liberia)",Container ship,Active,Liberia,93685 tons,104544 tons,299 m,48 m,,2015,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",,MONROVIA,"CSAV - VALPARAISO, CHILE","CSAV - VALPARAISO, CHILE","CISNES is a Container ship built in 2015 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as B SN5, CISNES. It's gross tonnage is 93685 tons.",,
9289099,218842000,MSC BEIJING,"MSB                                                                               (2018, Germany)                          MSC BEIJING                                                                               (2013, Liberia)",Container ship,Active,Germany,89954 tons,105034 tons,324 m,42 m,MAN-B&W,2005,"HANJIN HEAVY INDUSTRIES CO. LTD. - BUSAN, SOUTH KOREA",GERMANISCHER LLOYD,HAMBURG,"OFFEN REEDEREI - HAMBURG, GERMANY","OFFEN REEDEREI - HAMBURG, GERMANY","MSC BEIJING is a Container ship built in 2005 by HANJIN HEAVY INDUSTRIES CO. LTD. - BUSAN, SOUTH KOREA. Currently sailing under the flag of Germany. Formerly also known as MSB, MSC BEIJING. It's gross tonnage is 89954 tons.",12RTA-96C,61800 KW
9839260,351862000,MSC MINA,,Container ship,Active,Panama,228741 tons,224983 tons,399 m,61 m,,2019,,,,,,MSC MINA is a Container ship built in 2019. Currently sailing under the flag of Panama. It's gross tonnage is 228741 tons.,,
9439814,235070283,ERIN SCHULTE,,Chemical/Oil tanker,Active,United Kingdom (UK),11233 tons,16716 tons,145 m,23 m,MAN-B&W,2009,"JIANGZHOU UNION SHIPBUILDING - RUI CHANG, CHINA",AMERICAN BUREAU OF SHIPPING,DOUGLAS (ISLE OF MAN),"BSM IOM - DOUGLAS (ISLE OF MAN), United Kingdom (UK)","BSM UK - NEWCASTLE UPON TYNE, United Kingdom (UK)","ERIN SCHULTE is a Chemical/Oil tanker built in 2009 by JIANGZHOU UNION SHIPBUILDING - RUI CHANG, CHINA. Currently sailing under the flag of United Kingdom (UK). It's gross tonnage is 11233 tons.",6S35MC,4440 KW
9725603,566255000,HAFNIA BERING,"HAFNIA BERING                                                                               (2019, Marshall Islands)                          BNIA BERING                                                                               (2017, Singapore)",Chemical/Oil tanker,Active,Singapore,24120 tons,39067 tons,184 m,24 m,B&W,2015,"HYUNDAI MIPO DOCKYARD CO. LTD. - ULSAN, SOUTH KOREA",,,"HAFNIA TANKERS - HELLERUP, DENMARK","HAFNIA TANKERS - HELLERUP, DENMARK","HAFNIA BERING is a Chemical/Oil tanker built in 2015 by HYUNDAI MIPO DOCKYARD CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Singapore. Formerly also known as HAFNIA BERING, BNIA BERING. It's gross tonnage is 24120 tons.",6S50ME,10600 KW
9544932,246399000,PEAK BERGEN,ABIS BERGEN                                                                               (2017),General cargo vessel,Active,Netherlands,2978 tons,3931 tons,89 m,14 m,MAK,2010,"SHIPKITS - GRONINGEN, NETHERLANDS",LLOYD'S SHIPPING REGISTER,HARLINGEN,"ABIS SHIPPING - HARLINGEN, NETHERLANDS","ABIS SHIPPING - HARLINGEN, NETHERLANDS","PEAK BERGEN is a General cargo vessel built in 2010 by SHIPKITS - GRONINGEN, NETHERLANDS. Currently sailing under the flag of Netherlands. Formerly also known as ABIS BERGEN. It's gross tonnage is 2978 tons.",6M25,1500 KW
9352298,211822000,SEACONGER,SEACONGER                                                                               (2020),Oil tanker,Active,Germany,21329 tons,32200 tons,177 m,28 m,MAN-B&W,2005,"LINDENAU SHIPYARD - KIEL, GERMANY",GERMANISCHER LLOYD,BREMEN,"GERMAN TANKER SHIPPING - BREMEN, GERMANY","GERMAN TANKER SHIPPING - BREMEN, GERMANY","SEACONGER is a Oil tanker built in 2005 by LINDENAU SHIPYARD - KIEL, GERMANY. Currently sailing under the flag of Germany. Formerly also known as SEACONGER. It's gross tonnage is 21329 tons.",6L32/40,8800 KW
9618288,351819000,MSC ALGHERO,,Container ship,Active,Panama,96375 tons,110725 tons,300 m,48 m,MAN-B&W,2013,"SUNGDONG SHIPBUILDING & MARINE ENGINEERING CO. LTD. - TONGYOUNG, SOUTH KOREA",GERMANISCHER LLOYD,,"YEPTON SHIPPING - MONROVIA, LIBERIA","MSC SHIPMANAGEMENT CYPRUS - LIMASSOL, CYPRUS","MSC ALGHERO is a Container ship built in 2013 by SUNGDONG SHIPBUILDING & MARINE ENGINEERING CO. LTD. - TONGYOUNG, SOUTH KOREA. Currently sailing under the flag of Panama. It's gross tonnage is 96375 tons.",9K98ME-C,47430 KW
9336658,372721000,NORDICO,NORDIC RIVER                                                                               (2019),LPG carrier,Active,Panama,25937 tons,29565 tons,180 m,29 m,MAN-B&W,2007,"DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - SEOUL, SOUTH KOREA",NIPPON KAIJI KYOKAI (NKK),Panama,"K LINE - TOKYO, JAPAN","K LINE - TOKYO, JAPAN","NORDICO is a LPG carrier built in 2007 by DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - SEOUL, SOUTH KOREA. Currently sailing under the flag of Panama. Formerly also known as NORDIC RIVER. It's gross tonnage is 25937 tons.",6S50MC-C,9480 KW
9330068,636017722,MAERSK SURABAYA,MAERSK SURABAYA                                                                               (2013)                          SANTA LAURA                                                                               (2006),Container ship,Active,Liberia,94322 tons,108351 tons,332 m,43 m,,2006,"DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - SEOUL, SOUTH KOREA",GERMANISCHER LLOYD,MONROVIA,"OFFEN REEDEREI - HAMBURG, GERMANY","OFFEN REEDEREI - HAMBURG, GERMANY","MAERSK SURABAYA is a Container ship built in 2006 by DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - SEOUL, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as MAERSK SURABAYA, SANTA LAURA. It's gross tonnage is 94322 tons.",,
9706205,249982000,CAPE TAINARO,,Container ship,Active,Malta,112836 tons,134869 tons,329 m,48 m,,2017,"HANJIN SUBIC SHIPYARD - OLONGAPO, PHILIPPINES",GERMANISCHER LLOYD,VALLETTA,"COSTAMARE SHIPPING - ATHENS, GREECE","COSTAMARE SHIPPING - ATHENS, GREECE","CAPE TAINARO is a Container ship built in 2017 by HANJIN SUBIC SHIPYARD - OLONGAPO, PHILIPPINES. Currently sailing under the flag of Malta. It's gross tonnage is 112836 tons.",,
9135638,636018268,MSC JEANNE,"MSC JEANNE                                                                               (2019, Liberia)                          SC JEANNE                                                                               (2018, Liberia)                          WAVE                                                                               (2013, Cyprus)                          THORSWAVE                                                                               (2013, Cyprus)                          EOS I                                                                               (2007)                          ZIM MUMBAI                                                                               (2007)                          MING DYNASTY                                                                               (2002)                          HYUNDAI DYNASTY                                                                               (1998)                          EOS 1                                                                               (1996)",Container ship,Active,Liberia,29022 tons,35021 tons,195 m,32 m,,1996,"HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA",BUREAU VERITAS,LIMASSOL,"TECHNOMAR SHIPPING - ATHENS, GREECE","TECHNOMAR SHIPPING - ATHENS, GREECE","MSC JEANNE is a Container ship built in 1996 by HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as MSC JEANNE, SC JEANNE, WAVE, THORSWAVE, EOS I, ZIM MUMBAI, MING DYNASTY, HYUNDAI DYNASTY, EOS 1. It's gross tonnage is 29022 tons.",,
9395989,249332000,ARSLAND,"ARSLAND                                                                               (2019, Malta)                          ATC10                                                                               (2018, Malta)                          CT DUBLIN                                                                               (2017, Malta)                          CT_DUBLIN                                                                               (2017)",Chemical/Oil tanker,Active,Malta,12137 tons,16791 tons,144 m,23 m,MAN-B&W,2008,"TURKTER SHIPYARD - ISTANBUL, TURKEY",AMERICAN BUREAU OF SHIPPING,VALLETTA,"NET DENIZCILIK - ISTANBUL, TURKEY","NET DENIZCILIK - ISTANBUL, TURKEY","ARSLAND is a Chemical/Oil tanker built in 2008 by TURKTER SHIPYARD - ISTANBUL, TURKEY. Currently sailing under the flag of Malta. Formerly also known as ARSLAND, ATC10, CT DUBLIN, CT_DUBLIN. It's gross tonnage is 12137 tons.",6L48/60,6300 KW
9426817,636017514,MSC CORNELIA,CORNELIA I                                                                               (2021)                          CORNELIA I                                                                               (2021)                          RHL FIDUCIA                                                                               (2016),Container ship,Active,Liberia,54182 tons,63069 tons,293 m,32 m,B&W,2010,"JIANGNAN CHANGXING SHIPBUILDING - SHANGHAI, CHINA",GERMANISCHER LLOYD,MONROVIA,"HAMBURGER LLOYD - HAMBURG, GERMANY","HAMBURGER LLOYD - HAMBURG, GERMANY","MSC CORNELIA is a Container ship built in 2010 by JIANGNAN CHANGXING SHIPBUILDING - SHANGHAI, CHINA. Currently sailing under the flag of Liberia. Formerly also known as CORNELIA I, CORNELIA I, RHL FIDUCIA. It's gross tonnage is 54182 tons.",,45760 KW
9277383,244198000,TINA,GOTLAND                                                                               (2011),Container ship,Active,Netherlands,7519 tons,8634 tons,137 m,21 m,MAK,2003,"JJ SIETAS SCHIFFSWERFT - HAMBURG, GERMANY",,HEERENVEEN,"HOLWERDA SHIPMANAGEMENT BV, NETHERLANDS","HOLWERDA SHIPMANAGEMENT BV, NETHERLANDS","TINA is a Container ship built in 2003 by JJ SIETAS SCHIFFSWERFT - HAMBURG, GERMANY. Currently sailing under the flag of Netherlands. Formerly also known as GOTLAND. It's gross tonnage is 7519 tons.",9M43C,8900 KW
9480382,247293900,KING ARTHUR,"BBBG ARTHUR                                                                               (2018, Italy)",LPG carrier,Active,Italy,4761 tons,5312 tons,103 m,16 m,,2011,"VINASHIN BACH DANG SHIPBUILDING INDUSTRY - HAIPHONG, VIETNAM",AMERICAN BUREAU OF SHIPPING,RAVENNA,"MEDITERRANEA DI NAVIGAZIONE - RAVENNA, ITALY","MEDITERRANEA DI NAVIGAZIONE - RAVENNA, ITALY","KING ARTHUR is a LPG carrier built in 2011 by VINASHIN BACH DANG SHIPBUILDING INDUSTRY - HAIPHONG, VIETNAM. Currently sailing under the flag of Italy. Formerly also known as BBBG ARTHUR. It's gross tonnage is 4761 tons.",,
9110377,356249000,MSC SAMANTHA,"HYUNDAI INDEPENDENCE                                                                               (2013, United Kingdom (UK))                          HYUNDAI INDEPNDENCE                                                                               (2012, United Kingdom (UK))                          HYUNDAI INDEPENDNCE                                                                               (2012, United Kingdom (UK))                          HYUNDAIINDEPENDENCE                                                                               (2011, United Kingdom (UK))                          MSC INDEPENDENCE                                                                               (2011, United Kingdom (UK))",Container ship,Active,Panama,64054 tons,68363 tons,274 m,40 m,,1996,"HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA",BUREAU VERITAS,,"MSC MEDITERRANEAN SHIPPING - GENEVA, SWITZERLAND","MSC MEDITERRANEAN SHIPPING - GENEVA, SWITZERLAND","MSC SAMANTHA is a Container ship built in 1996 by HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Panama. Formerly also known as HYUNDAI INDEPENDENCE, HYUNDAI INDEPNDENCE, HYUNDAI INDEPENDNCE, HYUNDAIINDEPENDENCE, MSC INDEPENDENCE. It's gross tonnage is 64054 tons.",,
9287900,636020899,MSC MARIA CLARA,ZHONG GU ZHE JIANG                                                                               (2021)                          ZHONG GU ZHE JIANG                                                                               (2021)                          LONG CHANG                                                                               (2017)                          AUGUST                                                                               (2017)                          AUGUST                                                                               (2017)                          CHARLOTTE C.RICKMERS                                                                               (2014)                          CHARLOTTE                                                                               (2014)                          CHARLOTTE C RICKMERS                                                                               (2013)                          MAERSK DOUALA                                                                               (2009)                          AUGUSTA_KONTOR,Container ship,Active,Liberia,54214 tons,68150 tons,294 m,32 m,MAN-B&W,2004,"HANJIN ULSAN FACTORY - ULSAN, SOUTH KOREA",GERMANISCHER LLOYD,SHANGHAI,"RICKMERS REEDEREI - HAMBURG, GERMANY","RICKMERS REEDEREI - HAMBURG, GERMANY","MSC MARIA CLARA is a Container ship built in 2004 by HANJIN ULSAN FACTORY - ULSAN, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as ZHONG GU ZHE JIANG, ZHONG GU ZHE JIANG, LONG CHANG, AUGUST, AUGUST, CHARLOTTE C.RICKMERS, CHARLOTTE, CHARLOTTE C RICKMERS, MAERSK DOUALA, AUGUSTA_KONTOR. It's gross tonnage is 54214 tons.",9K90MC-C,41130 KW
9702077,374602000,MSC MELINE,"KSC KELINE 2                                                                               (2019, Panama)                          MSC&MELINE                                                                               (2018, Panama)",Container ship,Active,Panama,95497 tons,110029 tons,299 m,48 m,,2015,"DALIAN SHIPBUILDING INDUSTRY GROUP - DALIAN, CHINA",,,"CHINA INTERNATIONAL MARINE CONTAINERS GROUP - SHENZHEN, CHINA","CHINA INTERNATIONAL MARINE CONTAINERS GROUP - SHENZHEN, CHINA","MSC MELINE is a Container ship built in 2015 by DALIAN SHIPBUILDING INDUSTRY GROUP - DALIAN, CHINA. Currently sailing under the flag of Panama. Formerly also known as KSC KELINE 2, MSC&MELINE. It's gross tonnage is 95497 tons.",,
9545039,246474000,PEAK BORDEAUX,ABIS BORDEAUX                                                                               (2017),General cargo vessel,Active,Netherlands,2978 tons,3931 tons,89 m,14 m,MAK,2011,"DONGFENG SHIPBUILDING - HANGZHOU, CHINA",LLOYD'S SHIPPING REGISTER,HARLINGEN,"ABIS SHIPPING - HARLINGEN, NETHERLANDS","ABIS SHIPPING - HARLINGEN, NETHERLANDS","PEAK BORDEAUX is a General cargo vessel built in 2011 by DONGFENG SHIPBUILDING - HANGZHOU, CHINA. Currently sailing under the flag of Netherlands. Formerly also known as ABIS BORDEAUX. It's gross tonnage is 2978 tons.",8M20C,1520 KW
